id,text,domain
19,"求购绑卡信息，做四件套的可以看看购买的的东西包括： 身份证姓名，号码，  银行卡号两张， 可用预留手机号。
身份证，银行卡，不用邮寄， 预留手机卡需要邮寄给我。  
需求量大， 带价来。",0
20,求购 苹果 SN码大量要 有的私我，要一百万的货  有的私聊我  每天不定时上线。或者联系电报 阿bin最厉害,0
21,求购百度贴吧绑定手机号数据如题，收百度ID与绑定密保手机号一套数据，带价回复,0
22,求购美团，饿了么外卖平台各城市代理电话求购美团外卖，饿了么等，各级城市代理的姓名与联系电话。,0
23,"求购香港股民企业资源如题，需要股民及企业联系方式。
格式：008259xxxxxx
支持测试的来，论坛担保交易。",0
24,求购阿里内部管理人员联系方式求购阿里内部管理人员联系方式，有的大神请留言,0
25,"求购美团用户对商家的评论数据如题，可使用爬虫爬取，但要求身份清楚
用户id 姓名 商家 商家评论  等等",0
26,求購海外華人數據求購海外華人數據..新加坡馬來西亞,0
27,"求医院资料 不孕不育，新生儿，孕妇。 有的私聊求医院资料 不孕不育，新生儿，孕妇。 有的私聊

长期购买, 一个月有稳定的量, 如果你有认识的人有这方面的资料,你可以每个月从中间赚差价",0
28,求购邮箱数据大量需要邮箱数据，二手数据勿扰，,0
29,"出一手网贷数据240W去重，另有实时网贷数据5块一个现在手里有网贷平台数据240W左右每个价钱5毛一个
实时网贷数据5块一个每天提取，量大可按需求定制分类",0
30,求购各家保险公司两年以上电销保单数据要求深圳区域，价格好说，站内联系,0
31,收一手网贷实时和隔夜数据，量大的来收一手网贷实时和隔夜数据，量大的来,0
32,"美国华人 数据 大量收求购 美国华人数据 名子 电话 地址
 (有社会安全号,+加价)

有量报价来谈

大量收购 

会不定时上来查看 

走平台交易",0
33,大量求购微信老号大量求购微信老号，卖号的老板私我联系方式,0
34,"长期收台湾一手邮箱数据 国内一手也行欢迎有实力的大牛前来洽谈长期收台湾一手邮箱数据 国内  邮箱 手机也可以 .也行欢迎有实力的大牛前来洽谈 
留言看到第一时间回复",0
35,收购淘宝女性客户老数据收购淘宝女性客户老数据，比如女性服装，首饰，化妆品，包包，高跟鞋，丝袜，内衣。资料时间可以是15年，16年，17年，18年。需求量大，漫天要价者勿扰，骗子勿扰。,0
36,需要一张营业执照复印件并盖公章需要实拍的图，PS过关就行，我指定公司名称,0
37,"求购网贷实时数据,日消耗5w+广求网贷实时数据，每天消耗的量非常大，只要实时，
能提供测试，
微信添加率有百分之10起
合作对象，高级渗透者或者能提供后台等
说到底，质量好。都可以",0
38,求购国内新库一手手机或邮箱数据——密码扫号用，有库得大佬来,0
39,"求购微信钱包有微粒贷的人群的手机号码收购微粒贷资料数据，只要微信钱包有微粒贷的人的手机号码 简单的说的就是有微粒贷的人群的手机号码
有这些资料或者能力的人请联系我  你出价就可以了",0
40,高价收购手持护照、护照照片！中国优先，其他国家详谈！,0
41,收全国车辆数据，新老数据都可以收车辆数据，需要车牌号、车架号、发动机号三个字段就可以，最好是近两年的数据,0
42,车辆抵押贷款找回之前抵押车辆贷款    现在找回     可以提供抵押地址,0
43,求购帮忙辅助验证一个微信账号注册，7美元懂的来。我自己用，就一个号，论坛开专贴担保交易，给你7美元，手续费我补。能帮忙的呼叫我或站短。,0
44,求一个暗网交易网这个网里面有一个手机远控马，功能是捆绑图片或APP发链接给用户，用户安装后，可以获取手机通讯录，和通话记录。那个朋友知道那个网有这种马，请站里联系。骗子勿扰,0
45,求购最新印度国民基础数据求购最新印度国民基础数据，价格好谈，有意联系tel:bfhvhfacnfbdekd,0
46,求购美国公民真实身份信息大量收购，没有用于注册过Amazon账号的美国公民信息,0
47,"收网贷实时数据收每天实时网贷数据，日消化好几万
能测试私聊",0
48,"求数据/核心代码-医疗行业相关数据（医患+医师）+智慧医疗行业AI实施代码，如爱康国宾、卫宁、东软医疗、三甲医院、某宝/某东物流数据1、包括医院、医美、体检等机构的患者数据 ，包含个人信息+诊疗数据或者医院机构的医师信息等（个人信息+科室）；
2、医疗行业AI设计规划书、实施代码和成功案例等；",0
49,"求购病历慢性支气管炎
哮喘病人
肾炎
肺癌

走担保交易",0
50,寻可以跳过活体认证，开手机卡业务[禁止发布站外联系方式，发现即冻结账号] 禁发站外联系@n,0
51,"诚收实时网贷数据诚收各大网贷每天实时数据，每日消化5万左右。质量稳定，可消化更多。
只要每天实时一手资源（不要隔夜），有名字电话时间就可以。前期合作能测试1000条（质量可以，后期补钱）
是稳定质量找我，勿拿我当小白做实验。诚意合作大佬请留下的联系方式。
中介天价勿扰。",0
52,"业务需要求 寻求高手合作企业钉钉权限数据业务需要求 寻求高手合作企业钉钉权限数据，
 
 参数要求：管理员账户+密码 或者企业高层管理人员的账户+密码

可按每条价格来计算，最好是能一起合作，你只负责拿到权限，其他你不用管，具体交易站内完成，需要合作或者有这方面数据出的大内高手，请站内联系，最好是私信联系。闲散人员勿扰！",0
53,"卡商MMM我，收短信验证平台，长期要！价格可议~！！！要求：接APP注册短信
价格：市场价是1-2毛一条
质量OK的接码卡商，价格可议网上调高！
长期要求量大，手头有几千张上万的MMMM",0
54,求购货到付款方式购物的手机号码我需要采用货到付款方式购物人的手机号，例如看新闻的时候弹出购物广告点击购买的这种，电视购物，快递货到付款等手机号码信息,0
55,"求购虚拟币、资金盘创始人身份信息因业务需要，本团队求购虚拟币、资金盘创建者身份信息

我们需要尽量完善的信息，当然不完善，也欢迎提供，越多越好，按信息量确定价格。
钱不是问题，请放心，钱对于我们团队来讲，不是问题，如果怀疑，请看我们亮出的比特币

太早的资金盘、虚拟币创始人、合伙人的信息不要，太久了不一定管用，只需要2017年-2018年的虚拟币创始负责人团伙、资金盘创始人团伙的信息

信息尽量包括：
姓名，身份证号码，手机号码，家庭住址，家庭成员，照片，家庭成员照片
户籍所在地，户籍信息，名下房屋信息，车辆信息（牌照号码），子女上学情况，老人居住地
直系亲属或者近亲的居住信息，联系信息，照片等
同时尽量描述下其资金盘、虚拟币的运作发布情况

越详细越好，但是不见得必须要完全符合上述信息，有多少提供多少，大量收。

狗年岁末，杀狗期至
钱不是问题，请看我们亮出的比特币，如果你想挣钱，又没有上面的资源，怎么办？不要急，我们提供给你赚钱方式
每个虚拟币、资金盘都有QQ用户群，微信群，你用QQ软件，搜索群，找虚拟币字样，比如说查找  红烧肉、比原链、维基链、比特币上帝、菩提币、大炮评级等，找到QQ群就加进去，去打探创始人的信息

交易方式：暗网论坛，求购联系处有我们专用收购贴
价格确定：请先提供该团伙头目中一定信息，隐去一些关键的等我们付款后再出示，然后我们双方协商价格，协商完毕后，您直接在这里提交报价，我们点付款就行，暗网的保密性大家都知道，绝对不会泄露你的任何信息



不要怕触犯法律，因为他们本身就是违法的，而且这些人基本都是文字书生，利用笔墨技巧抢夺的别人的钱财，所以不管你是为我们提供信息，还是加入我们的团队，都不要怕，绝对没风险（有风险就冒充受害者）



我们将在狗年结束时进行杀狗行动，如果你有兴趣，也欢迎加入我们的组织，详细请到暗网论坛看，有专门联系处",0
56,"大量求够身份信息查询的有能力的看帖子大量求够身份信息查询的有能力的看帖子
知道手机号码查询户主身份证信息量大，先说明我搞这个是用来搞游戏的风险不大，有能力的留言我",0
57,求购全球一手二手料有没有资料无所谓。有卡号日期CVV就可以。只要有额度。看料给价,0
58,"出售  百度地图  谷歌地图上面所有数据出售在地图上已注册商家的电话地址数据
可以选择区域，行业等",0
59,收购国内CVV大量收购国内CVV，回款快，小商户勿扰。,0
60,求购 12306 60W 账号 410W联系的数据如题 有数据的 带价 私聊,0
61,求能做身份证的求能制作身份证的，最好是带芯片的，网站交易,0
62,求购保险公司保险代理人信息求购保险公司保险代理人信息，名字，电话，地址！！有的请私聊,0
63,寻内料CVV大户 秒回款寻内料CVV大户 秒回款    长期合作  大户私信我,0
64,诚收最新1手现金贷数据，需要支持测试可长期收诚收最新1手现金贷数据，需要支持测试可长期收 站内交易,0
65,求购大量CVV外料整库大量收购CVV外料，最好整库，求暴库大神合作。有想脱手的私我,0
66,求购一个火币网实名账号求购一个火币网实名账号，已通过审核，可进行正常币币交易等。代价来。谢谢,0
67,求购学生贷款历史数据，进一两年的。谁有，需要测试，可以的来。可站内担保交易。,0
68,有人能搞指定地区拆迁户联系方式吗？有人能搞指定地区拆迁户联系方式吗？留言私信都可。,0
69,求购海口三要素需要海口地区三要素有的留言,0
70,"求购移动联通电信4G手机卡解卡方法酬金0.5BTC求购移动联通电信4G手机卡解卡方法酬金0.5BTC
求购移动联通电信4G手机卡解卡方法酬金0.5BTC
求购移动联通电信4G手机卡解卡方法酬金0.5BTC",0
71,求购江苏地区快递数据求购江苏地区快递数据,0
72,求购一个新的身份，有可以做的联系我带价格私信。急用！！！,0
73,求购江苏镇江地区淘宝快递资料求购江苏镇江地区淘宝快递资料，有的联系，可以长期收，数据必须是近期的。,0
74,求购个人信息查询渠道合作一起赚钱的来,0
75,求购母婴数据 淘宝女性购物数据不要那种烂大街的数据 二手三手都ok  只要不是烂大街就行 数量要的多，当然价格也相对于便宜  数据主要是 女性-手机号码,0
76,大量收pos客户信息电话 姓名， 带平台来,0
77,"求购欧洲数据本人做外贸，准备开发欧洲市场。
想做个定点推广。

现需要欧洲国家的个人信息数据。
购物、酒店、旅游等。
大小国家都行，其它种类数据也可以带价联系。
有数据的大佬可以私信我。

不要求一手数据，小范围内传播的就行
但是烂大街的数据就别联系我了，
那些人都不知道被洗过多少次了。

站内担保交易",0
78,求租国外手机号，不需要实卡，必须能接验证码，量大！美国号 澳大利亚号 日本 韩国 ，香港的也可以！详细请留言，每天消耗200+以上，可按月租，能续费的！,0
79,求购韩国身份资料（四件套）求购全套韩国身份资料，包括 身份证件，手持自拍，手机卡，银行卡，对应的一个韩国身份。有资源的可以私信我。谢谢,0
80,"长期收购一手网贷车贷数据1.长期收购网贷，车贷，隔夜或当天一手数据，中介勿扰，只找一手技术货源。

2.每日需求数万+，只要质量稳定，可消化更多，有稳定质量的找我，

3.实力技术源头请带测试联系我，验证质量可以后，可以补上测试的钱，二手的和骗子请自重别浪费大家时间。
量大稳定的私聊我",0
81,求购一款简历采集器求购一个简历采集器软件，可以实时采集简历的那种，58 赶集  智联  51job  都行,0
82,收北京小汽车摇号中标车主信息高价批量收，大量要，1W条信息起步，只走平台担保。有能力的来，骗子勿扰。有意者私聊。,0
83,"数据,欧美数求购欧盟数据库,欧美数据,油箱数据,skypelive:cc5a0cfc83ebaddd",0
84,收韩国账户最好是个人的账户，有手机卡，银行卡。带银联标识的韩国银行卡。,0
85,来个能用电话号复制或补办电话卡的大神合作，有料可以提供身份证号码和手机号码，来能够补办电话卡的内部人员，或者能复制卡的大神，卡安单价收！,0
86,长期大量收购国内一手手机数据，邮箱数据能做微博即可长期大量收购国内一手手机数据，邮箱数据能做微博即可，长期稳定，有实力的大牛欢迎来,0
87,求购全日制本科文凭 学信网可查求购全日制本科文凭 学信网可查,0
88,求购移动电信电话卡移动电信等各类复制卡。技术大神欢迎联系，合作生财,0
89,求购全国各省市的车辆数据求购全国各省市的车辆数据，最好是近5年的数据，有的叫我，每天都会来看,0
90,求医院不孕不育科，孕妇，新生儿数据资料求医院不孕不育科，孕妇，新生儿数据资料 有的私聊谈价格,0
91,"求医院不孕不育科，孕妇，新生儿数据资料 有的私聊谈价格求医院不孕不育科，孕妇，新生儿数据资料 有的私聊谈价格

长期要，每个月量大",0
92,求sim卡数据资源，sim卡复制技术能提供SIM卡数据资源，和大量复制卡片技术的技术大佬欢迎站内联系。大量合作,0
93,求购全国大型企业懂事长联系信息求购全国大型企业懂事长联系信息。最好是互联网与区块链企业的,0
94,收德邦物流，远成物流2018年的货物为红酒类数据收德邦物流，远成物流2018年的货物为红酒类数据，有的交易平台交易，交易前请先站内私信聊,0
95,求购：车标资料求购：车标资料（身份证正反面，行驶证，车主站在车前一张，内饰带中控一张，后排一张，里程表一张，车门打开的钢印一张就是生产日期品牌的那个牌子）都只要照片。有能力大神私信我,0
96,"找个河北的手机号解封微信解封的条件自己了解一下
在市场里面大概还有0.00095用不出去，解封个号吧。
可以的站内。小活",0
97,求点料、要有电话 姓名 身份证号码。ZF人员 公职人员。企业。个体 都行。  不要网贷。  车牌号能知道是最好。家庭成员有也行。,0
98,查信息的来，急。有身份证号，查询名下资产，包括房车，银行卡余额，加开房记录。可以的话加上对方离婚妻子的资产。能办的呼叫我开价,0
99,求购广东省中小学学生数据求购广东省中小学学生数据,0
100,求购qq不封群技术谁有qq不封群技术的，求购技术,1
101,"寻120,220轨道有120,220的来一个，骗子滚",1
102,"收120,220收120,220轨道料，骗子滚",1
103,收uber代叫技术收uber代叫技术有的私我。美国的。,1
104,酒店破解记录我听说万豪酒店被黑客入侵过，往后被抓了，不知道是不是真的？,1
105,找101 201一手料主如题 境外有机 秒回款 有的站内私 或留联系方式,1
106,整人技术!求购！电磁送声器、脑波读物软件、电磁发射枪、电子混合药剂关于近几年所谓的“电子脑控”技术，电磁送声器、脑波读物软件、电磁发射枪、电子混合药剂.针孔摄像，手机定位和窃听。有种类似于狗翻译的有声解读软件和简单思维翻译那种机器。有这个技术没，或是身边有相关的资源，我需要这套技术，有重谢。暗网10几年前的项目嚄，1-2BTC交易，不懂的骗子勿扰！妈的现在一堆骗子！狗日的！,1
107,"!求购！电磁送声器、脑波读物软件、电磁发射枪、电子混合药剂求购！电磁送声器、脑波读物软件、电磁发射枪、电子混合药剂,价格好商量。有种类似于狗翻译的有声解读软件和简单思维翻译那种机器。有这个技术没，或是身边有相关的资源，我需要这套技术，有重谢。暗网10几年前的项目嚄，不懂的骗子勿扰！妈的现在一堆骗子！狗日的！交易走站上！BTC",1
108,"求供应商驾校包过科一科四，上下已经打点好了，却本钱买设备驾校包过科一科四，上下已经打点好了，却本钱买设备
一个人一单1000去了给上面的分红剩下的一人一半。
有钱的没项目的可以跟我合作，
每天晚上八点中午十二点在线，其他时间不定时在线，",1
109,购买企业QQ找出售企业QQ的大神，只想购买30个工号的,1
110,"收个暗装支付宝相关的可测试暗装支付宝
秒余额
测试符合需求 挂交易市场大家都放心，站内私信联系！谢谢",1
111,求购一套嗅探设备需要一套嗅探设备，诚心要，有诚心卖的来，最好能带点技术指导,1
112,寻番茄app接码平台账号本人想撸点羊毛，寻大神指点怎么获取番茄app接码平台账号，谢谢！,1
113,"pk10玩家qq号一手数据，其他彩种可定制获取30万加pk玩家qq号，一手数据，服务器端直接获取的。
这其中如果包含你的号和同行的很正常，基本涵盖了大部分玩家，需要其他种类的玩家也可获取。",1
114,"有ddos需求，对方违法网站能走担保的，价格靠谱的联系经常在线
需求10天左右，",1
115,求购传奇永恒流出源码！求购虚幻3引擎传奇永恒流出源码，有能力的站内接单！,1
116,求购dz类论坛刷积分的方法近期看到不少DZ论坛的高级账号，都是新注册的，没发过帖子和回过帖子，直接就成为高级，并非管理员刷，貌似有什么最新的漏洞和方法，求方法。,1
117,求购thinkphp 3.2.6的0day求购thinkphp 3.2.6的0day能拿到shell的那种。,1
118,求租远控售后要跟上，免杀，过主流。能测试,1
119,"寻找一位 DDOS 量大的牛人 打bc平台！RT：
来个老哥私信我你的联系方式我会联系到你
打博彩台子 源IP 已经找到 
走交易站内担保！！！",1
120,"收英国欧州无C料收英国欧州无C料,有的私信,大量",1
121,求购鸿亿系统源码或者漏洞求购鸿亿微商管理系的源码，或能拿到后台管理权限的漏洞和方法。,1
122,求购无痕破解腾讯QQ空间软件（链接）真心求购一款可以破解腾讯QQ空间的软件。,1
123,求购东线邀请码，有的请联系！！！求购东线邀请码，有的请联系！！！只接受走论坛交易的,1
124,求购东线邀请码求购东线邀请码,1
125,求购号码任意显示软件价格，软件能实现的功能,1
126,求购 CyberAio（AIO） 抢签机器人求购 CyberAio（AIO） 抢签机器人 站内交易,1
127,寻黑客攻破国外网站我需要攻破一个国外网站，获取这个网站的注册用户资料，就是该网站的注册用户联系方式。不碰黄赌毒，请放心！能做到的请回复,1
128,求购稳定号码任显软件功能，价格，呼叫,1
129,求购远控手机软件或技术能远控对方手机的软件木马或技术，要包教会,1
130,求购肉鸡（win家庭鸡，服务器鸡均可）求购肉鸡（win家庭鸡，服务器鸡均可），需求稳定长期收购。要求论坛交易。站内先联系。,1
131,"电磁脉冲设备我需要电磁脉冲设备/（人体定位洗脑晶片）
（发射生物电波和“密室传音” -—电磁定位噪音骚扰。是用来骚扰“密室传音”的 
最好还能配套设备仪器教程（解除办法）
能解决支付1w以至以上",1
132,"其他暗网中文论坛网站连结请问有人知道其他暗网中文论坛网站的连结列表吗？
知道的请私信我，会给点回馈。",1
133,求购两个东线的邀请码需要两个东线的邀请码？哪位大哥说说看价格,1
134,"求购 安卓 麻将游戏  外挂 插件最近麻将输太多了, 谁又好用的麻将的插件  外挂  
重金求购  也可以合作 
有软件的出售的  可以站内信我. 谢",1
135,能渗透取数据库的大神出来发个私信，诚心交易，国内一般的网站，难度低能渗透取数据库的大神出来发个私信，诚心交易，小城市一般的网站，难度低，站内发信息,1
136,求购快手刷粉软件 直播粉 协议粉 速度快求购快手刷粉软件 直播粉 协议粉 速度快 求购,1
137,"求可提取QQ微信好友列表的朋友，量大最近发现，我们QQ上的玩家总是不知不觉的被人加好友发广告，查半天也没查出个毛线，客服肯定没点网址和收东西，我觉得肯定是暗网上的大神们干的好事。所以兄弟我就来暗网找大神来了。
要求有下面几点：
第一：不管QQ还是微信，大家都明白，发网址，发木马，肯定是没人会去点，没人会去收的。所以，我请那些发网址，发木马的朋友就别来了。那玩意我自己就有，难用的一匹。我们要找的是直接提取的，或者是什么漏洞的，我以前用过一个QQ空间表情的，贼6。反正我不管你用啥办法，对方不收不点就把他的好友列表给我搞到手，你就是超级6！
第二：我知道有的大神不会直接找客户，所以我们允许中介来找我们谈。但是有一个问题，你如果是三道四道五道的，就别来了。你们拿的价格我很清楚，我自己也有渠道，为什么不用我自己的渠道，我会在下面说清楚的。所以，那些好几道手的，上来张嘴就要2000,5000，还特么有要7000的，您别来了，我一天百八十个的量，我一天就得给您几十万，您消化的了么？
第三：我在暗网上找到了一个大佬，可是这个大佬实在太潇洒，基本上一星期回国一两天，其余时间都在国外玩耍，兄弟我这几十口子人的口粮总是接不上，所以我才来论坛上求这个技术。如果您要跟我们合作，我可以给您保证每天不低于50个单子，其实能到100个，大佬说不让我吹牛逼，我就说50吧。但是您不能跟我那个大哥似的，总是往国外飞，我知道你们都是大佬，可是也得可怜可怜我这打工仔不是么。每天咱们固定一个时间我给你发目标号，我知道你这个提取需要时间，没事，咱们定个最晚时间给我就行。话说我那个大哥是真潇洒，技术也是真牛逼，羡慕五分钟。。。
第四：我要测试，看清楚，我要测试，我测我自己的微信和QQ，咱们先小人后君子，把话都说在前面，省的以后打架玩。我就测一个，你让我确认你是真有这个技术，然后咱们开始合作。合作流程：前期咱们分批交易，也就是说我一批给你10个20个的，你给我提出来，咱们一手交钱一手交货。等合作时间久了，我预付啥的都可以。
我不是那墨迹的人，上面叨逼叨的废了半天话，无非是想把丑话说在前面，省的咱们以后吵吵，你想赚钱，我们需要这个渠道，就是这么简单！
谁能做，留言回复我！！！",1
138,求购一个手机远控马这个手机远控马，支持安卓4.4——9.0的所有手机，一定要免杀。图标和名称可以任意修改发给用户，用户点击安装后，不需要再做任何操作，就可以获取手机的通讯录与通话记录。（不要留后门）价格1000人民币，分三个月给,1
139,求改装pos的教程求改装pos机的教程，东南亚的机器准备拿回大陆操作，价格另谈。,1
140,求购一款iphone手机远控求购一款苹果手机远控。有的大佬联系我,1
141,求购代码签名证书。或者能帮忙申请的来求购代码签名证书。或者能帮忙申请的来,1
142,求购轨道 atm 采集设备 卡口支持面交的私聊,1
143,急寻可破解qq或微信密码，或可绕开好友辅助验证密码申诉的黑客！价格私聊！！！急寻可破解qq或微信密码，或可绕开好友辅助验证密码申诉的黑客！价格私聊！！！,1
144,"求ddos大手资金盘，目测高防服务器，需要有400G以上的能力。
报价，站内交易，可测试，17ce一半以上就给钱。",1
145,求够卡口采集散件，有货的站内联系求购，绿圆平口壳子，小绿条，或者绿鸭嘴 壳子。有货的联系。,1
146,大家过年发财好 求购轨道料101 120求购101 120磁条轨道料 带pin的 大量需求团队操作内外均可 可以论坛交易可以具体谈合作 谢谢,1
147,求购QQ加人技术，可以留言和私信求购QQ加人技术，可以留言和私信,1
148,求购号码任显软件求购一款号码任显软件，直接回复价格,1
149,求购出粉引流软件.脚本.技术，求购出粉引流软件.脚本.技术，日达1w的可以来聊聊,1
150,求购QQ盗号木马，键盘马，需要整套源码交易流程，全程担保交易，付款，测试，交付源码架设服务器，收货完成交易。全程担保，你我都不会吃亏，不懂不会的不要浪费时间，价格好商量，主要是你有没有这个能力，这个木马相对于来说不是很难，但是我要求的木马比较完美，需要无痕盗号，不能导致卡顿报错。安装环境大部分是网吧，所以无杀软。,1
151,"10W找黑客高手拿个企业网站，需要担保交易10W找黑客高手拿个企业网站，需要担保交易

避免多双的损失，需要网站的数据信息
能拿的，有技术的，请私信我！",1
152,"求购QQ获取对方好友技术要求一：不要发图跳转点击获取。不要发文件点击获取的。
要求二：输入对方QQ号自动获取对方好友。包括列表，好友号码，好友昵称。",1
153,"收权重网站webshell百度权重站webshell,有的朋友请私信我 带上价格 与网站！
如果合适我会让你去交易站开专拍帖 我会拍下来！",1
154,"求QQ克隆技术，告诉我开会员的别来！价格好商量！你如果告诉我直接开超级会员就可以克隆了，那就请你不用继续往下看了，如果这么简单就能完成的事我还跑到这里发贴，那会显得自己跟你一样低能。

功能要求：

1、任意QQ号我只要加上对方好友，就可以神不知鬼不觉的把对方的所有好友变成我的好友（看好，是变成我的好友，不是提取对方好友信息，那个我会）
2、支持先测试效果，支持论坛担保交易！
3、联系xs:nswoody520或者回贴留下你的联系方式我加你！",1
155,收一款测活软件收一款测活软件，最好支持无C的,1
156,收一款无C测卡软件收一款无C测卡软件，有的去交易区发帖,1
157,"寻求黑客大神合作，有偿服务，站内担保寻求黑客大神合作，有偿服务，站内担保

可以的话，联系！",1
158,"寻求黑客大佬帮忙有偿拿站寻求黑客大佬帮忙有偿拿站，没技术，要定金的别来。

可以拿站的大佬，请私信。",1
159,"求稳定的GV号接码平台，不会经常缺US号验证求稳定的GV号接码平台网站，不会经常缺US号
交易区haoheichou168",1
160,购买手机号码定位设备--单兵--欢迎留言本人听说这个设备好多年了！只要有手机号码开机就能找到位置，精度小于2米！哪位大神可以提供请私信！同时欢迎留言！,1
161,脱裤高手联系我，需要脱裤一个网站脱裤高手联系我，需要脱库一个购物网站，预计金额12w，有实力私聊发网站,1
162,求购 美国apple app 刷单软件app  或者外挂站内联系  因为有需要 所有才有需要,1
163,"高价(诚聘大牛指定入侵拿站拖库)仅需要提取网站数据库信库
主要以拿数据为主，长期业务需求。一单一结账
绝不开空头支票，让实力说话，能力很重要。
本站内私信，[禁止发布站外联系方式，发现即冻结账号]。",1
164,寻渗透大神只需要渗透拿权，拿数据也可以，BC，后续操作不需要你来，可以的话呼叫,1
165,"接码：微博抖音注册接码，日量10W+价格：
微博：0.00001BTC
抖音：0.00001BTC
日可接码量稳定5W，最多可10W+，API对接

其他冷门接码业务详聊。",1
166,"免杀控提供，寻做bc的工作室，一起合作。如题。
有兴趣的私信。
告诉我
电  宝",1
167,BC平台  寻求推广团队合作利润分成保你满意,1
168,"急求163orQQ邮箱数据库数据，另寻过硬渗透黑客。详谈急求大量163orQQ邮箱数据库数据
另寻渗透过硬的技术员。详谈。
我就不亮币了。可以的话走交易站内。
找技术员，要求渗透技术过硬。
肥单。一个比较着急的外国友人。具体我给你搭线
你们谈价格。可以吧。
技术员要求技术过硬，听明白了吗？
尊敬的管理员，因为找技术员可能涉及一些技术性问题，
如果迫不得已会我们单独谈。希望管理员谅解。
有意向的技术员可以留下你的踢G。
Anila_V",1
169,寻求能封禁某个贴吧的渠道某个指定贴吧，有一定违规性质，需要的是监管或者贴吧内部权限，如果自己举报我也能做。,1
170,"寻求针对直播网站相关的资源，监管或者其他能压制的该网站本身有非法成分，不过后台不小，如果有官方或者其他渠道，比如媒体，达到让该网站整改的效果。
不一定要一锤定音，有相关渠道的都可以聊聊",1
171,"高价寻黑客，高薪！！高薪！！首先，需要你把我们的数据根据指定网站的格式写成一个数据包，然后入侵指定网站的服务器里，然后我们在网站首页就可以直接登陆，

简单的说就是你把我们提供的东西放到服务器里，帮我们跳过网站的新用户注册，国外数字货币网站，可提供你需要的东西，

高薪聘请，面做，大量单，按单结算，一单10W左右",1
172,"出售各种各样的网站攻击，帐户攻击和cpanel和shell黑客攻击的大量引导程序部分案列：
Atomic Booter Edited
Atomic Booter
ATTBooter Source [PRODIGY Edit]
booter source
Carbon Booter v2 Final
Ddos em source
DOS Net Booter Source
Erotic Booter
JeeJeePower
Knofilct Booter
Konflict Source [Custom Coded]
KyleFYI
Legion Booter [Avatar Vuln Fixed]
lJepsi Booter
Orgylicious Booter
OsOModS Premium Source
Phanatac Booter
Phantac Booter [Custom Coded]
Premium Web Booter [New PRODIGY]
Premium Web Booter
Prodigy's Booter New by Natha
Prodigys Booter
Quick Booter
Rage Booter Source
SB Booter
SB Source [Custom Coded]
ShellSRC (Old Prodigy)
Stealth Booter V1
Team313 Booter
Tyler777 Booter
Ub3r Booter
VertexNetv1.2.1
WebBasedV1
WicKd Booter
Wormf00d Booter
XBL booter v1
XioNz Booter Web Edition v1
twBooter v1.6.0
高端技术玩意，不懂得请绕道，给有需要的人，只做出售，不做任何售后，请想清楚再拍，使用后一切后果自负。",1
